TSSM_MIN,TSSM_MAX,PTPM,TV,BSHG
0.713,0.621,0.207,0.501,0.309
0.854,0.782,0.088,0.66,0.547
0.823,0.844,0.067,0.523,0.678
0.972,0.811,0.033,0.744,0.568
0.559,0.497,0.198,0.329,0.41
0.316,0.481,0.037,0.157,0.663
0.616,0.509,0.282,0.415,0.146
0.575,0.593,0.112,0.396,0.476
0.654,0.674,0.072,0.401,0.37
0.502,0.621,0.005,0.264,0.505
0.823,0.72,0.324,0.643,0.292
0.566,0.421,0.243,0.293,0.16
0.834,0.812,0.027,0.592,0.667
0.801,0.742,0.173,0.657,0.456
0.859,0.841,0.081,0.63,0.562
0.843,0.695,0.429,0.675,0.226
0.51,0.562,0.084,0.261,0.426
0.675,0.704,0.221,0.468,0.565
0.548,0.547,0.07,0.332,0.47
0.655,0.66,0.078,0.373,0.381
0.837,0.786,0.185,0.537,0.437
0.025,0.027,0.054,0.011,0.259
0.845,0.749,0.118,0.617,0.386
